timestamps,open,high,low,close,volume,amount
2025-01-02 09:35:00,6.5243167000,6.5435909000,6.4954054000,6.4954054000,2184500,14764192.0000
2025-01-02 09:40:00,6.4954054000,6.5146796000,6.4761312000,6.4857683000,1712200,11528768.0000
2025-01-02 09:45:00,6.4857683000,6.4857683000,6.4664941000,6.4664941000,1380100,9276180.0000
2025-01-02 09:50:00,6.4664941000,6.4857683000,6.4472199000,6.4472199000,3153900,21148948.0000
2025-01-02 09:55:00,6.4472199000,6.4664941000,6.4375828000,6.4664941000,1110600,7436424.0000
2025-01-02 10:00:00,6.4664941000,6.4761312000,6.4568570000,6.4664941000,686500,4605184.0000
2025-01-02 10:05:00,6.4664941000,6.4664941000,6.4472199000,6.4568570000,1126800,7548016.0000
2025-01-02 10:10:00,6.4568570000,6.4664941000,6.4472199000,6.4568570000,737900,4941880.0000
2025-01-02 10:15:00,6.4568570000,6.4857683000,6.4472199000,6.4568570000,2306000,15475752.0000
2025-01-02 10:20:00,6.4568570000,6.4568570000,6.4375828000,6.4472199000,911700,6099664.0000
2025-01-02 10:25:00,6.4472199000,6.4568570000,6.4375828000,6.4472199000,525200,3514216.0000
2025-01-02 10:30:00,6.4472199000,6.4568570000,6.4472199000,6.4472199000,343500,2299848.0000
2025-01-02 10:35:00,6.4472199000,6.4568570000,6.4472199000,6.4472199000,563000,3771064.0000
2025-01-02 10:40:00,6.4472199000,6.4568570000,6.4375828000,6.4568570000,1002900,6710680.0000
2025-01-02 10:45:00,6.4472199000,6.4568570000,6.4279457000,6.4375828000,1919000,12822408.0000
2025-01-02 10:50:00,6.4375828000,6.4375828000,6.4279457000,6.4279457000,587400,3922624.0000
2025-01-02 10:55:00,6.4279457000,6.4472199000,6.4279457000,6.4375828000,371600,2483696.0000
2025-01-02 11:00:00,6.4375828000,6.4472199000,6.4375828000,6.4375828000,209600,1401312.0000
2025-01-02 11:05:00,6.4375828000,6.4472199000,6.4375828000,6.4472199000,323100,2159696.0000
2025-01-02 11:10:00,6.4375828000,6.4472199000,6.4375828000,6.4375828000,459100,3067104.0000
2025-01-02 11:15:00,6.4375828000,6.4472199000,6.4279457000,6.4279457000,574800,3838160.0000
2025-01-02 11:20:00,6.4375828000,6.4375828000,6.4183086000,6.4279457000,1746300,11645888.0000
2025-01-02 11:25:00,6.4279457000,6.4279457000,6.4183086000,6.4279457000,391300,2607856.0000
2025-01-02 11:30:00,6.4279457000,6.4279457000,6.4183086000,6.4279457000,807600,5382400.0000
2025-01-02 13:05:00,6.4279457000,6.4279457000,6.4086715000,6.4279457000,1982300,13203024.0000
2025-01-02 13:10:00,6.4279457000,6.4279457000,6.3893973000,6.3893973000,2532700,16849248.0000
2025-01-02 13:15:00,6.3893973000,6.4086715000,6.3893973000,6.4086715000,599800,3983936.0000
2025-01-02 13:20:00,6.4086715000,6.4086715000,6.3893973000,6.3893973000,1073200,7120448.0000
2025-01-02 13:25:00,6.3893973000,6.3990344000,6.3797602000,6.3797602000,837300,5547360.0000
2025-01-02 13:30:00,6.3797602000,6.3893973000,6.3604860000,6.3701231000,2323700,15367904.0000
2025-01-02 13:35:00,6.3701231000,6.3797602000,6.3701231000,6.3701231000,597000,3948768.0000
2025-01-02 13:40:00,6.3797602000,6.3797602000,6.3508489000,6.3604860000,2451700,16190272.0000
2025-01-02 13:45:00,6.3508489000,6.3604860000,6.3508489000,6.3508489000,900800,5938016.0000
2025-01-02 13:50:00,6.3508489000,6.3604860000,6.3412118000,6.3508489000,1449000,9548224.0000
2025-01-02 13:55:00,6.3508489000,6.3508489000,6.3315747000,6.3315747000,1335400,8783216.0000
2025-01-02 14:00:00,6.3315747000,6.3604860000,6.3315747000,6.3604860000,1463800,9632288.0000
2025-01-02 14:05:00,6.3604860000,6.3604860000,6.3412118000,6.3604860000,695600,4585760.0000
2025-01-02 14:10:00,6.3508489000,6.3604860000,6.3315747000,6.3412118000,1293300,8514752.0000
2025-01-02 14:15:00,6.3315747000,6.3412118000,6.3219376000,6.3315747000,848900,5575072.0000
2025-01-02 14:20:00,6.3315747000,6.3315747000,6.3123005000,6.3219376000,1467200,9616608.0000
2025-01-02 14:25:00,6.3219376000,6.3412118000,6.3123005000,6.3412118000,2365700,15524256.0000
2025-01-02 14:30:00,6.3412118000,6.3508489000,6.3219376000,6.3412118000,1418900,9332128.0000
2025-01-02 14:35:00,6.3412118000,6.3508489000,6.3219376000,6.3315747000,1098200,7216608.0000
2025-01-02 14:40:00,6.3219376000,6.3315747000,6.3123005000,6.3123005000,1640600,10756256.0000
2025-01-02 14:45:00,6.3123005000,6.3219376000,6.3123005000,6.3123005000,959100,6286432.0000
2025-01-02 14:50:00,6.3123005000,6.3219376000,6.2930263000,6.3123005000,3041500,19896096.0000
2025-01-02 14:55:00,6.3123005000,6.3219376000,6.3026634000,6.3123005000,1078400,7064928.0000
2025-01-02 15:00:00,6.3219376000,6.3315747000,6.3123005000,6.3219376000,1124900,7379424.0000
2025-01-03 09:35:00,6.3315747000,6.3508489000,6.3219376000,6.3219376000,1763400,11591541.0000
2025-01-03 09:40:00,6.3219376000,6.3508489000,6.3219376000,6.3412118000,1620900,10656199.0000
2025-01-03 09:45:00,6.3412118000,6.3797602000,6.3315747000,6.3701231000,2131500,14068124.0000
