timestamps,open,high,low,close,volume,amount
2025-01-02 09:35:00,7.4028710100,7.4028710100,7.3143904800,7.3438839900,2628100,19645612.0000
2025-01-02 09:40:00,7.3537151600,7.3537151600,7.3340528200,7.3537151600,1151600,8599812.0000
2025-01-02 09:45:00,7.3537151600,7.3537151600,7.3045593100,7.3340528200,1310400,9764160.0000
2025-01-02 09:50:00,7.3340528200,7.3733775000,7.3340528200,7.3537151600,794600,5940820.0000
2025-01-02 09:55:00,7.3537151600,7.3733775000,7.3438839900,7.3438839900,517400,3873788.0000
2025-01-02 10:00:00,7.3438839900,7.3438839900,7.2947281400,7.3045593100,1099200,8182204.0000
2025-01-02 10:05:00,7.3045593100,7.3143904800,7.2652346300,7.2848969700,1903600,14101500.0000
2025-01-02 10:10:00,7.2848969700,7.2947281400,7.2652346300,7.2750658000,965500,7147024.0000
2025-01-02 10:15:00,7.2750658000,7.2750658000,7.2160787800,7.2259099500,2239900,16494040.0000
2025-01-02 10:20:00,7.2259099500,7.2554034600,7.2259099500,7.2554034600,1186400,8733576.0000
2025-01-02 10:25:00,7.2554034600,7.2750658000,7.2455722900,7.2652346300,909800,6717416.0000
2025-01-02 10:30:00,7.2652346300,7.2848969700,7.2554034600,7.2848969700,527500,3902080.0000
2025-01-02 10:35:00,7.2750658000,7.2848969700,7.2652346300,7.2750658000,417100,3087312.0000
2025-01-02 10:40:00,7.2750658000,7.2947281400,7.2750658000,7.2750658000,216800,1606304.0000
2025-01-02 10:45:00,7.2750658000,7.2848969700,7.2455722900,7.2455722900,592700,4376040.0000
2025-01-02 10:50:00,7.2554034600,7.2750658000,7.2455722900,7.2750658000,317500,2345432.0000
2025-01-02 10:55:00,7.2750658000,7.2947281400,7.2652346300,7.2750658000,251000,1857800.0000
2025-01-02 11:00:00,7.2750658000,7.2848969700,7.2554034600,7.2750658000,309400,2287184.0000
2025-01-02 11:05:00,7.2652346300,7.2652346300,7.2455722900,7.2652346300,352000,2598184.0000
2025-01-02 11:10:00,7.2652346300,7.2750658000,7.2455722900,7.2455722900,356800,2632816.0000
2025-01-02 11:15:00,7.2554034600,7.2554034600,7.2357411200,7.2455722900,366600,2701536.0000
