timestamps,open,high,low,close,volume,amount
2025-07-29 09:35:00,6.76,6.8,6.75,6.79,5715600,38769985.0
2025-07-29 09:40:00,6.79,6.81,6.78,6.78,3922900,26660580.0
2025-07-29 09:45:00,6.79,6.79,6.75,6.76,4083100,27641273.0
2025-07-29 09:50:00,6.75,6.79,6.74,6.78,3835100,25921886.0
2025-07-29 09:55:00,6.78,6.78,6.73,6.74,4153500,28019207.0
2025-07-29 10:00:00,6.74,6.74,6.71,6.71,5822500,39149698.0
2025-07-29 10:05:00,6.72,6.74,6.7,6.73,4800400,32222242.0
2025-07-29 10:10:00,6.73,6.78,6.73,6.76,2565800,17333920.0
2025-07-29 10:15:00,6.76,6.77,6.75,6.77,1714800,11598711.0
2025-07-29 10:20:00,6.77,6.78,6.76,6.78,2778000,18803463.0
2025-07-29 10:25:00,6.77,6.78,6.73,6.75,1937700,13077636.0
2025-07-29 10:30:00,6.76,6.77,6.74,6.74,1202100,8122008.0
2025-07-29 10:35:00,6.74,6.75,6.74,6.75,576500,3889483.0
2025-07-29 10:40:00,6.74,6.75,6.73,6.75,1943400,13101920.0
2025-07-29 10:45:00,6.75,6.76,6.74,6.74,1606900,10843208.0
2025-07-29 10:50:00,6.75,6.76,6.74,6.75,1416400,9552695.0
2025-07-29 10:55:00,6.75,6.76,6.74,6.76,2241900,15138543.0
2025-07-29 11:00:00,6.76,6.77,6.75,6.75,1532400,10356795.0
2025-07-29 11:05:00,6.76,6.78,6.75,6.76,2716100,18373420.0
2025-07-29 11:10:00,6.77,6.78,6.76,6.78,1181800,8004835.0
2025-07-29 11:15:00,6.78,6.79,6.77,6.78,2763500,18740302.0
2025-07-29 11:20:00,6.78,6.78,6.76,6.78,1707300,11560422.0
2025-07-29 11:25:00,6.77,6.79,6.77,6.78,1061000,7194581.0
2025-07-29 11:30:00,6.79,6.79,6.76,6.76,1019600,6906317.0
2025-07-29 13:05:00,6.76,6.78,6.76,6.77,1443700,9774126.0
2025-07-29 13:10:00,6.77,6.78,6.75,6.75,1821700,12331022.0
2025-07-29 13:15:00,6.76,6.77,6.75,6.76,581700,3930726.0
